dt,,press
"2016, 7, 4",,100881.5681
"2016, 7, 4",,100860.6402
"2016, 7, 5",,100825.9984
"2016, 7, 5",,100815.0898
"2016, 7, 5",,100801.9604
"2016, 7, 5",,100803.3166
"2016, 7, 5",,100782.5219
"2016, 7, 5",,100821.5519
"2016, 7, 5",,100828.7198
"2016, 7, 5",,100817.7817
"2016, 7, 5",,100808.9117
"2016, 7, 5",,100798.3688
"2016, 7, 5",,100772.3837
"2016, 7, 5",,100794.8123
"2016, 7, 5",,100837.0332
"2016, 7, 5",,100895.4829
"2016, 7, 5",,100948.1907
"2016, 7, 5",,100988.5719
"2016, 7, 5",,101032.8928
"2016, 7, 5",,101028.6447
"2016, 7, 5",,100996.2661
"2016, 7, 5",,100951.3946
"2016, 7, 5",,100963.3943
"2016, 7, 5",,101040.4916
"2016, 7, 6",,101130.9206
"2016, 7, 6",,101180.7443
"2016, 7, 6",,101164.7948
"2016, 7, 6",,101133.4714
"2016, 7, 6",,101115.4452
"2016, 7, 6",,101116.4056
"2016, 7, 6",,101107.4764
"2016, 7, 6",,101062.005
"2016, 7, 6",,100999.6444
"2016, 7, 6",,100954.5414
"2016, 7, 6",,100890.7526
"2016, 7, 6",,100852.4416
"2016, 7, 6",,100827.4439
"2016, 7, 6",,100844.4125
"2016, 7, 6",,100866.9838
"2016, 7, 6",,100888.5378
"2016, 7, 6",,100919.2536
"2016, 7, 6",,100930.7938
"2016, 7, 6",,100941.6739
"2016, 7, 6",,100941.1674
"2016, 7, 6",,100902.8526
"2016, 7, 6",,100850.9969
"2016, 7, 6",,100809.2101
"2016, 7, 6",,100803.372
"2016, 7, 7",,100823.3584
"2016, 7, 7",,100849.3444
"2016, 7, 7",,100858.2876
"2016, 7, 7",,100844.6611
"2016, 7, 7",,100829.3686
"2016, 7, 7",,100786.2703
"2016, 7, 7",,100767.9035
"2016, 7, 7",,100679.1713
"2016, 7, 7",,100610.9173
"2016, 7, 7",,100591.9508
"2016, 7, 7",,100601.1142
"2016, 7, 7",,100610.672
"2016, 7, 7",,100636.9226
"2016, 7, 7",,100647.273
"2016, 7, 8",,100908.9808
"2016, 7, 8",,100869.306
"2016, 7, 8",,100884.2104
"2016, 7, 8",,100878.0307
"2016, 7, 8",,100871.6641
"2016, 7, 8",,100883.8216
"2016, 7, 8",,100912.561
"2016, 7, 9",,101018.8142
"2016, 7, 9",,100997.5544
"2016, 7, 9",,100971.439
"2016, 7, 9",,101020.7197
"2016, 7, 9",,101015.6501
"2016, 7, 9",,101082.9723
"2016, 7, 9",,101139.2338
"2016, 7, 10",,101872.576
"2016, 7, 10",,101861.9964
"2016, 7, 10",,101817.7073
"2016, 7, 10",,101773.065
"2016, 7, 11",,101819.8284
"2016, 7, 11",,101813.4761
"2016, 7, 11",,101756.0122
"2016, 7, 11",,101710.8983
"2016, 7, 11",,101768.5354
"2016, 7, 11",,101819.3008
"2016, 7, 11",,101861.9698
"2016, 7, 11",,101891.054
"2016, 7, 11",,101907.5043
"2016, 7, 11",,101906.375
"2016, 7, 11",,101879.0332
"2016, 7, 11",,101873.4212
"2016, 7, 11",,101895.4003
"2016, 7, 11",,101916.213
"2016, 7, 11",,101948.4559
"2016, 7, 11",,101997.7746
"2016, 7, 11",,102034.3861
"2016, 7, 11",,102070.6683
"2016, 7, 11",,102066.397
