dt,,tmp
"2016, 7, 3",,29.84072222
"2016, 7, 3",,29.47675
"2016, 7, 3",,30.02319444
"2016, 7, 3",,29.64741667
"2016, 7, 3",,29.28936111
"2016, 7, 3",,28.34136111
"2016, 7, 3",,27.98252778
"2016, 7, 3",,27.86805556
"2016, 7, 4",,29.97747222
"2016, 7, 4",,38.78952778
"2016, 7, 4",,42.32402778
"2016, 7, 4",,45.23075
"2016, 7, 4",,48.32102778
"2016, 7, 4",,48.52655556
"2016, 7, 4",,42.09680556
"2016, 7, 4",,40.41941667
"2016, 7, 4",,38.71358333
"2016, 7, 4",,35.59422222
"2016, 7, 4",,34.75577778
"2016, 7, 4",,33.89766667
"2016, 7, 4",,31.90394444
"2016, 7, 4",,31.41627778
"2016, 7, 4",,30.37861111
"2016, 7, 4",,29.55061111
"2016, 7, 4",,29.76913889
"2016, 7, 4",,29.70780556
"2016, 7, 4",,29.02488889
"2016, 7, 4",,29.61752778
"2016, 7, 4",,30.06069444
"2016, 7, 4",,30.73916667
"2016, 7, 4",,30.41002778
"2016, 7, 4",,30.69997222
"2016, 7, 5",,31.18213889
"2016, 7, 5",,31.44597222
"2016, 7, 5",,32.70727778
"2016, 7, 5",,38.57647222
"2016, 7, 5",,37.74522222
"2016, 7, 5",,36.18830556
"2016, 7, 5",,37.47
"2016, 7, 5",,41.38355556
"2016, 7, 5",,42.5045
"2016, 7, 5",,40.31323529
"2016, 7, 5",,35.82074627
"2016, 7, 5",,36.26431429
"2016, 7, 5",,36.19244444
"2016, 7, 5",,36.76477778
"2016, 7, 5",,36.43258333
"2016, 7, 5",,35.80658333
"2016, 7, 5",,35.27427778
"2016, 7, 5",,35.05597222
"2016, 7, 5",,34.38636111
"2016, 7, 5",,33.91586111
"2016, 7, 5",,33.61472222
"2016, 7, 5",,32.70094444
"2016, 7, 6",,34.87438889
"2016, 7, 6",,42.38783333
"2016, 7, 6",,47.62377778
"2016, 7, 6",,50.81083333
"2016, 7, 6",,50.96427778
"2016, 7, 6",,51.12341667
"2016, 7, 6",,50.28763889
"2016, 7, 6",,46.33113889
"2016, 7, 6",,46.85577778
"2016, 7, 6",,42.61847222
"2016, 7, 6",,42.17886111
"2016, 7, 6",,40.34980556
"2016, 7, 6",,38.88358333
"2016, 7, 6",,37.16744444
"2016, 7, 6",,37.01522222
"2016, 7, 6",,36.77691667
"2016, 7, 6",,36.03963889
"2016, 7, 6",,35.84438889
"2016, 7, 6",,35.61994444
"2016, 7, 6",,35.23563889
"2016, 7, 6",,35.96975
"2016, 7, 6",,35.93255556
"2016, 7, 6",,35.73372222
"2016, 7, 6",,35.0425
"2016, 7, 7",,37.26072222
"2016, 7, 7",,44.50711111
"2016, 7, 7",,49.52552778
"2016, 7, 7",,50.85286111
"2016, 7, 7",,46.87038889
"2016, 7, 7",,47.03108333
"2016, 7, 7",,44.40161111
"2016, 7, 7",,44.85688889
"2016, 7, 7",,40.8621727
"2016, 7, 7",,42.75988889
"2016, 7, 7",,37.92511111
"2016, 7, 7",,37.64627778
"2016, 7, 7",,36.13121569
"2016, 7, 7",,33.82292683
"2016, 7, 8",,44.20344828
"2016, 7, 8",,43.23344444
"2016, 7, 8",,40.13452778
"2016, 7, 8",,37.56838889
"2016, 7, 8",,35.55155556
"2016, 7, 8",,33.59630556
"2016, 7, 8",,31.18961538
"2016, 7, 9",,26.66443182
"2016, 7, 9",,28.38146479
"2016, 7, 9",,27.50722034
"2016, 7, 9",,26.71144444
"2016, 7, 9",,26.11867133
"2016, 7, 9",,25.92325088
"2016, 7, 9",,27.50181159
"2016, 7, 10",,37.14180328
"2016, 7, 10",,41.77391667
"2016, 7, 10",,42.60286111
"2016, 7, 10",,40.19241722
"2016, 7, 11",,38.09380556
"2016, 7, 11",,35.39827778
"2016, 7, 11",,35.95033333
"2016, 7, 11",,35.19147222
"2016, 7, 11",,33.80383333
"2016, 7, 11",,31.32319444
"2016, 7, 11",,30.26372222
"2016, 7, 11",,29.34255556
"2016, 7, 11",,29.60163889
"2016, 7, 11",,29.04977778
"2016, 7, 11",,29.23241667
"2016, 7, 11",,29.55802778
"2016, 7, 11",,29.42841667
"2016, 7, 11",,29.07702778
"2016, 7, 11",,29.06205556
"2016, 7, 11",,29.70013889
"2016, 7, 11",,37.56552778
"2016, 7, 11",,42.68594444
"2016, 7, 11",,43.18791667
