dt,sensor,tmp,hum,press
2016-06-23 22:00:00,sensor_2,26.11925,64.9064444444,101341.465361
2016-06-23 22:00:00,sensor_3,29.5708611111,51.6091111111,101244.652889
2016-06-23 22:00:00,sensor_4,27.0756388889,61.7728611111,101179.661667
2016-06-23 23:00:00,sensor_0,29.5382222222,61.7425,101127.30725
2016-06-23 23:00:00,sensor_2,25.1611666667,68.5915833333,101383.295278
2016-06-23 23:00:00,sensor_3,29.1258055556,53.3996944444,101282.887056
2016-06-23 23:00:00,sensor_4,26.2700555556,65.7961388889,101218.536306
2016-06-24 00:00:00,sensor_0,29.0493888889,64.43875,101129.810278
2016-06-24 00:00:00,sensor_2,24.7648055556,68.6362777778,101387.081417
2016-06-24 00:00:00,sensor_3,28.9460555556,54.6912777778,101289.168
2016-06-24 00:00:00,sensor_4,26.1279166667,65.8373055556,101224.973861
2016-06-24 01:00:00,sensor_0,29.0553611111,64.3993611111,101156.313389
2016-06-24 01:00:00,sensor_2,24.4796388889,70.66275,101409.18425
2016-06-24 01:00:00,sensor_3,28.6672777778,55.7128611111,101314.370556
2016-06-24 01:00:00,sensor_4,25.5778333333,67.8952222222,101249.7595
2016-06-24 02:00:00,sensor_0,28.7466666667,65.2633888889,101222.12025
2016-06-24 02:00:00,sensor_2,24.7728333333,69.6624166667,101475.888139
2016-06-24 02:00:00,sensor_3,28.0676666667,57.3869166667,101381.54225
2016-06-24 02:00:00,sensor_4,25.4811944444,68.0643333333,101316.235944
2016-06-24 03:00:00,sensor_0,29.0982777778,63.8435,101249.8745
2016-06-24 03:00:00,sensor_2,24.8338055556,69.2492777778,101503.618556
2016-06-24 03:00:00,sensor_3,28.3492222222,56.3613611111,101406.627
2016-06-24 03:00:00,sensor_4,25.6143888889,67.049,101344.074278
2016-06-24 04:00:00,sensor_0,28.0865555556,67.3758888889,101297.353417
2016-06-24 04:00:00,sensor_2,24.8139166667,69.7264166667,101545.743667
2016-06-24 04:00:00,sensor_3,28.1059444444,56.7877777778,101446.812694
2016-06-24 04:00:00,sensor_4,25.3533055556,68.3164444444,101387.850833
2016-06-24 05:00:00,sensor_0,27.23825,59.1186388889,101371.179889
2016-06-24 05:00:00,sensor_2,24.7860555556,61.108,101617.395167
2016-06-24 05:00:00,sensor_3,27.8276666667,49.8351111111,101518.502472
2016-06-24 05:00:00,sensor_4,25.0942777778,59.3471111111,101461.9545
2016-06-24 06:00:00,sensor_0,29.2403055556,42.6703333333,101431.061444
2016-06-24 06:00:00,sensor_2,25.7139166667,45.1422222222,101680.09325
2016-06-24 06:00:00,sensor_3,27.5489444444,39.2096111111,101578.506722
