dt,,hum
"2016, 7, 11",,37.99127778
"2016, 7, 11",,48.53844444
"2016, 7, 11",,56.92411111
"2016, 7, 11",,61.31116667
"2016, 7, 11",,63.80566667
"2016, 7, 11",,62.30869444
"2016, 7, 11",,65.40963889
"2016, 7, 11",,66.41425
"2016, 7, 11",,65.72372222
"2016, 7, 11",,67.5315
"2016, 7, 11",,68.91227778
"2016, 7, 11",,68.99388889
"2016, 7, 11",,66.86263889
"2016, 7, 11",,46.59661111
"2016, 7, 11",,36.17819444
"2016, 7, 11",,33.33041667
