dt,sensor,tmp,hum,press
"2016, 29, 6",sensor_0,31.99436111,45.37677778,101228.7888
"2016, 29, 6",sensor_0,30.65802778,48.35563889,101294.4022
"2016, 29, 6",sensor_0,30.40163889,49.54516667,101343.2666
"2016, 29, 6",sensor_0,29.82766667,51.07183333,101351.0269
"2016, 29, 6",sensor_0,29.38391667,52.84197222,101359.8524
"2016, 29, 6",sensor_0,29.15813889,54.00252778,101377.475
"2016, 29, 6",sensor_0,28.98502778,55.59461111,101401.1819
"2016, 29, 6",sensor_0,28.62097222,56.99063889,101437.1457
"2016, 29, 6",sensor_0,27.99913889,58.64552778,101492.2168
"2016, 30, 6",sensor_0,29.54258333,54.02325,101556.7928
"2016, 30, 6",sensor_0,34.05763889,42.77347222,101586.8088
"2016, 30, 6",sensor_0,37.59530556,36.49738889,101598.8566
"2016, 30, 6",sensor_0,41.72097222,29.79277778,101605.3862
"2016, 30, 6",sensor_0,45.22263889,25.26227778,101626.1184
"2016, 30, 6",sensor_0,46.39722222,23.59827778,101618.2379
"2016, 30, 6",sensor_0,46.50380556,22.84966667,101602.4482
"2016, 30, 6",sensor_0,43.77038889,25.87088889,101571.4384
"2016, 30, 6",sensor_0,40.51505556,28.18519444,101524.6042
"2016, 30, 6",sensor_0,40.3245,27.797,101491.7398
"2016, 30, 6",sensor_0,38.51308333,31.19652778,101450.7137
"2016, 30, 6",sensor_0,35.0785,40.62866667,101473.007
"2016, 30, 6",sensor_0,33.66744444,46.35483333,101493.0482
"2016, 30, 6",sensor_0,33.58747222,46.85352778,101504.6544
"2016, 30, 6",sensor_0,33.19866667,49.76744444,101512.1556
"2016, 30, 6",sensor_0,32.50819444,53.38222222,101546.69
"2016, 30, 6",sensor_0,31.69680556,55.72866667,101592.4928
"2016, 30, 6",sensor_0,31.09488889,56.04536111,101582.7334
"2016, 30, 6",sensor_0,31.38905556,53.39677778,101590.795
"2016, 30, 6",sensor_0,30.59036111,55.34797222,101622.5399
"2016, 30, 6",sensor_0,30.53719444,50.98619444,101589.9437
"2016, 30, 6",sensor_0,30.57586111,50.93247222,101558.3509
"2016, 30, 6",sensor_0,30.71108333,52.59572222,101565.1363
"2016, 30, 6",sensor_0,30.25405556,56.21938889,101559.6427
"2016, 1, 7",sensor_0,31.60811111,54.84333333,101579.5108
"2016, 1, 7",sensor_0,33.53341667,54.51097222,101583.8198
"2016, 1, 7",sensor_0,36.73316667,50.00455556,101564.5045
"2016, 1, 7",sensor_0,41.5485,40.39672222,101541.5467
"2016, 1, 7",sensor_0,39.26283333,44.91872222,101485.4342
"2016, 1, 7",sensor_0,38.36327778,47.54955556,101464.602
"2016, 1, 7",sensor_0,37.73711111,49.13822222,101422.9133
"2016, 1, 7",sensor_0,36.37675,53.51819444,101379.9543
"2016, 1, 7",sensor_0,36.02186111,56.44788889,101309.7517
"2016, 1, 7",sensor_0,33.86144444,64.13525,101187.8713
"2016, 1, 7",sensor_0,33.09269444,63.94052778,101098.1991
"2016, 1, 7",sensor_0,30.92902778,64.69002778,101068.2082
"2016, 1, 7",sensor_0,29.579,76.68183333,101136.5084
"2016, 1, 7",sensor_0,31.13255556,70.11869444,101131.9995
"2016, 1, 7",sensor_0,29.64386111,77.90958333,101106.7501
"2016, 1, 7",sensor_0,29.90791667,74.81619444,101109.0549
"2016, 1, 7",sensor_0,29.11330556,74.56205556,101176.0567
"2016, 1, 7",sensor_0,30.60269444,69.43302778,101107.8323
